id,qname,heading,text,type,diagram,website,updated
,Ordered_measurement_scale_category,Ordered_measurement_scale_category,,Class,https://w3id.org/citydata/21972/v1/diagrams/Ordered_measurement_scale_category.dot.svg,https://w3id.org/citydata/21972/v1/Ordered_measurement_scale_category,2026-07-23T17:17:58.118619
,Unit_exponentiation,Unit_exponentiation,,Class,https://w3id.org/citydata/21972/v1/diagrams/Unit_exponentiation.dot.svg,https://w3id.org/citydata/21972/v1/Unit_exponentiation,2026-07-23T17:17:58.118619
,Measure,Measure,"A measure combines a number to a unit of measure or an interval or ratio scale. For example, ""3 m"" is a measure.",Class,https://w3id.org/citydata/21972/v1/diagrams/Measure.dot.svg,https://w3id.org/citydata/21972/v1/Measure,2026-07-23T17:17:58.118619
,Measurement_scale_category,Measurement_scale_category,,Class,https://w3id.org/citydata/21972/v1/diagrams/Measurement_scale_category.dot.svg,https://w3id.org/citydata/21972/v1/Measurement_scale_category,2026-07-23T17:17:58.118619
,SI_prefix,SI_prefix,,Class,https://w3id.org/citydata/21972/v1/diagrams/SI_prefix.dot.svg,https://w3id.org/citydata/21972/v1/SI_prefix,2026-07-23T17:17:58.118619
,ISO21972Thing,ISO21972Thing,A class used to organise all classes defined in the ISO 21972 ontology.,Class,https://w3id.org/citydata/21972/v1/diagrams/ISO21972Thing.dot.svg,https://w3id.org/citydata/21972/v1/ISO21972Thing,2026-07-23T17:17:58.118619
,Sample_standard_deviation,Sample_standard_deviation,,Class,https://w3id.org/citydata/21972/v1/diagrams/Sample_standard_deviation.dot.svg,https://w3id.org/citydata/21972/v1/Sample_standard_deviation,2026-07-23T17:17:58.118619
,Sample,Sample,,Class,https://w3id.org/citydata/21972/v1/diagrams/Sample.dot.svg,https://w3id.org/citydata/21972/v1/Sample,2026-07-23T17:17:58.118619
,Distinct_count,Distinct_count,"Distinct_count class that is a Parameter that represents
         the number of distinct values of a property of the members of a
         Population",Class,https://w3id.org/citydata/21972/v1/diagrams/Distinct_count.dot.svg,https://w3id.org/citydata/21972/v1/Distinct_count,2026-07-23T17:17:58.118619
,City,City,,Class,https://w3id.org/citydata/21972/v1/diagrams/City.dot.svg,https://w3id.org/citydata/21972/v1/City,2026-07-23T17:17:58.118619
,Measurement_scale,Measurement_scale,"Measurement scales are concepts used for the expression of quantities. Four types of measurement scales are: nominal scales, ordinal scales, interval scales and ratio scales. The latter two scales are also called cardinal scales. An example of a scale is the Celsius scale, a temperature scale.",Class,https://w3id.org/citydata/21972/v1/diagrams/Measurement_scale.dot.svg,https://w3id.org/citydata/21972/v1/Measurement_scale,2026-07-23T17:17:58.118619
,Sample_sum,Sample_sum,,Class,https://w3id.org/citydata/21972/v1/diagrams/Sample_sum.dot.svg,https://w3id.org/citydata/21972/v1/Sample_sum,2026-07-23T17:17:58.118619
,Observation,Observation,,Class,https://w3id.org/citydata/21972/v1/diagrams/Observation.dot.svg,https://w3id.org/citydata/21972/v1/Observation,2026-07-23T17:17:58.118619
,Interval_scale,Interval_scale,,Class,https://w3id.org/citydata/21972/v1/diagrams/Interval_scale.dot.svg,https://w3id.org/citydata/21972/v1/Interval_scale,2026-07-23T17:17:58.118619
,Sample_cardinality,Sample_cardinality,,Class,https://w3id.org/citydata/21972/v1/diagrams/Sample_cardinality.dot.svg,https://w3id.org/citydata/21972/v1/Sample_cardinality,2026-07-23T17:17:58.118619
,Vectorial_or_tensorial_character,Vectorial_or_tensorial_character,,Class,https://w3id.org/citydata/21972/v1/diagrams/Vectorial_or_tensorial_character.dot.svg,https://w3id.org/citydata/21972/v1/Vectorial_or_tensorial_character,2026-07-23T17:17:58.118619
,DifferenceIndicator,DifferenceIndicator,Difference between term_1 and term_2 (term_1 - term_2),Class,https://w3id.org/citydata/21972/v1/diagrams/DifferenceIndicator.dot.svg,https://w3id.org/citydata/21972/v1/DifferenceIndicator,2026-07-23T17:17:58.118619
,Unit_division,Unit_division,,Class,https://w3id.org/citydata/21972/v1/diagrams/Unit_division.dot.svg,https://w3id.org/citydata/21972/v1/Unit_division,2026-07-23T17:17:58.118619
,Unit_multiple_or_submultiple,Unit_multiple_or_submultiple,,Class,https://w3id.org/citydata/21972/v1/diagrams/Unit_multiple_or_submultiple.dot.svg,https://w3id.org/citydata/21972/v1/Unit_multiple_or_submultiple,2026-07-23T17:17:58.118619
,Unit_multiplication,Unit_multiplication,,Class,https://w3id.org/citydata/21972/v1/diagrams/Unit_multiplication.dot.svg,https://w3id.org/citydata/21972/v1/Unit_multiplication,2026-07-23T17:17:58.118619
,Cardinal_scale,Cardinal_scale,,Class,https://w3id.org/citydata/21972/v1/diagrams/Cardinal_scale.dot.svg,https://w3id.org/citydata/21972/v1/Cardinal_scale,2026-07-23T17:17:58.118619
,Quantity,Quantity,"A quantity is a representation of a quantifiable (standardized) aspect (such as length, mass, and time) of a phenomenon (e.g., a star, food, or a molecule). Quantities are classified according to similarity in (implicit) metrological aspect, e.g. the length of my speedboat and the length of my racing car are classified as length.",Class,https://w3id.org/citydata/21972/v1/diagrams/Quantity.dot.svg,https://w3id.org/citydata/21972/v1/Quantity,2026-07-23T17:17:58.118619
,Fixed_zero_point,Fixed_zero_point,,Class,https://w3id.org/citydata/21972/v1/diagrams/Fixed_zero_point.dot.svg,https://w3id.org/citydata/21972/v1/Fixed_zero_point,2026-07-23T17:17:58.118619
,Population,Population,"The core class is the Population to be measured. A Population is linked to a parameter (e.g., mean, standard deviation, cardinality) by the is_described_by property, and the parameter is a sub class of Parameter. Depending on the subclass of Parameter, there is a reverse link back to the Population.
  
parameter links back to the using cardinality_of. parameter links back using the   property. parameter links back using the mean_of property.",Class,https://w3id.org/citydata/21972/v1/diagrams/Population.dot.svg,https://w3id.org/citydata/21972/v1/Population,2026-07-23T17:17:58.118619
,Prefix,Prefix,"A prefix is a name that precedes a basic unit of measure to indicate a decimal multiple or fraction of the unit. Each prefix has a unique symbol that is prepended to the unit symbol. For example, an electric current of 0.000 000 001 ampere is written by using the SI-prefix nano as 1 nanoampere or 1 nA.",Class,https://w3id.org/citydata/21972/v1/diagrams/Prefix.dot.svg,https://w3id.org/citydata/21972/v1/Prefix,2026-07-23T17:17:58.118619
,RatioIndicator,RatioIndicator,,Class,https://w3id.org/citydata/21972/v1/diagrams/RatioIndicator.dot.svg,https://w3id.org/citydata/21972/v1/RatioIndicator,2026-07-23T17:17:58.118619
,Cardinality_unit,Cardinality_unit,,Class,https://w3id.org/citydata/21972/v1/diagrams/Cardinality_unit.dot.svg,https://w3id.org/citydata/21972/v1/Cardinality_unit,2026-07-23T17:17:58.118619
,Nominal_scale,Nominal_scale,,Class,https://w3id.org/citydata/21972/v1/diagrams/Nominal_scale.dot.svg,https://w3id.org/citydata/21972/v1/Nominal_scale,2026-07-23T17:17:58.118619
,Sample_mean,Sample_mean,,Class,https://w3id.org/citydata/21972/v1/diagrams/Sample_mean.dot.svg,https://w3id.org/citydata/21972/v1/Sample_mean,2026-07-23T17:17:58.118619
