id,qname,heading,text,type,diagram,website,updated
,Standard_deviation,Standard_deviation,,Class,https://w3id.org/citydata/21972/v1/diagrams/Standard_deviation.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Standard_deviation'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Ordinal_scale,ordinal scale,,Class,https://w3id.org/citydata/21972/v1/diagrams/Ordinal_scale.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Ordinal_scale'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Parameter,Parameter,"Parameter is the Class of all  measures that can be made of a Population, both statistical, e.g., Mean, Standard_devation, and others, e.g., Cardinality, Sum.",Class,https://w3id.org/citydata/21972/v1/diagrams/Parameter.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Parameter'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Unit_division,unit division,,Class,https://w3id.org/citydata/21972/v1/diagrams/Unit_division.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Unit_division'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Measurement_scale_category,Measurement_scale_category,,Class,https://w3id.org/citydata/21972/v1/diagrams/Measurement_scale_category.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Measurement_scale_category'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Ordered_measurement_scale_category,Ordered_measurement_scale_category,,Class,https://w3id.org/citydata/21972/v1/diagrams/Ordered_measurement_scale_category.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Ordered_measurement_scale_category'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Feature,Feature,,Class,https://w3id.org/citydata/21972/v1/diagrams/Feature.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Feature'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Sample,Sample,,Class,https://w3id.org/citydata/21972/v1/diagrams/Sample.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Sample'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Cardinality,Cardinality,"Cardinality of the Population.
Note that there is no property that links Cardinality to a Variable.",Class,https://w3id.org/citydata/21972/v1/diagrams/Cardinality.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Cardinality'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Compound_unit,compound unit,,Class,https://w3id.org/citydata/21972/v1/diagrams/Compound_unit.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Compound_unit'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Measurement_scale,measurement scale,"Measurement scales are concepts used for the expression of quantities. Four types of measurement scales are: nominal scales, ordinal scales, interval scales and ratio scales. The latter two scales are also called cardinal scales. An example of a scale is the Celsius scale, a temperature scale.",Class,https://w3id.org/citydata/21972/v1/diagrams/Measurement_scale.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Measurement_scale'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Binary_prefix,Binary_prefix,,Class,https://w3id.org/citydata/21972/v1/diagrams/Binary_prefix.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Binary_prefix'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Quantity,quantity,"A quantity is a representation of a quantifiable (standardized) aspect (such as length, mass, and time) of a phenomenon (e.g., a star, food, or a molecule). Quantities are classified according to similarity in (implicit) metrological aspect, e.g. the length of my speedboat and the length of my racing car are classified as length.",Class,https://w3id.org/citydata/21972/v1/diagrams/Quantity.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Quantity'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Sample_standard_deviation,Sample_standard_deviation,,Class,https://w3id.org/citydata/21972/v1/diagrams/Sample_standard_deviation.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Sample_standard_deviation'>Web</a></body></html>,2026-08-12T15:07:41.538518
,Mean,Mean,Mean represents the mean value of a property all members of the Population have and is specified by the parameter_of_var property.,Class,https://w3id.org/citydata/21972/v1/diagrams/Mean.dot.svg,<html><body><a href='https://w3id.org/citydata/21972/v1/Mean'>Web</a></body></html>,2026-08-12T15:07:41.538518
